0,,"覚者さまのように感情を体で表現したくて
日々、お傍で観察しています！","I want to express emotions through my body like you do, Arisen,
so I observe you closely every day!",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,39
0,,"覚者さまに出会わなければ
私はレスタニアしか知らないまま
だったかもしれません
今の私があるのは、全て覚者さまのおかげです","If I had never met you, Arisen,
I might have known nothing beyond Lestania.
Who I am now is entirely thanks to you.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,40
0,,"覚者様のお傍にいても恥ずかしくないように、
流行には常に気を使っているんです
特に髪型には並々ならぬこだわりがあります","So as not to embarrass myself by your side, Arisen,
I always keep up with the latest fashions.
I'm especially particular about hairstyles.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,41
0,,"覚者さま、《鍛錬の小部屋》は利用されていますか？
覚者さまに気持ち良く使っていただけるよう
私がいつもお掃除しているんです","Arisen, do you use the Training Room?
I always clean it
so you can use it comfortably.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,42
0,,さあ、行きましょう！,"Come on, let's go!",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,43
0,,お願い聞いてくれないんですか？,Won't you hear my request?,ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,44
0,,早く行きましょう！,Let's hurry!,ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,45
0,,"本当によろしいのでしょうか？
ありがとうございます！
それでは、お待ちしておりますね","Is it truly all right?
Thank you very much!
Then, I'll be waiting.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,46
0,,"も、申し訳ございません
分をわきまえずお願いするなど――","M-my apologies.
I shouldn't have asked for something beyond my station—",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,47
0,,"おお、これが例の？
まさか本当にいただけるなんて――
ありがとうございます！","Oh, is this the item in question?
I never imagined you'd really give it to me—
Thank you very much!",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,48
0,,"覚者さま、お願いしていた品物なのですが――
あ、いえ、いつでもよい物なのです","Arisen, about the item I asked for—
Ah, no, anytime is fine.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,49
0,,"お帰りなさい、覚者さま
ウェアが汚れていたので洗っておきました
――勝手に触ってもよろしかったでしょうか？","Welcome back, Arisen.
Your gear was dirty, so I washed it.
—Was it all right for me to touch it without asking?",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,50
0,,"お帰りなさい、覚者さま
ベッドのシーツを干しておきましたよ
ぜひ、おやすみになってくださいね","Welcome back, Arisen.
I've aired out the bed sheets.
Please, do get some rest.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,51
0,,"覚者さまがもし、竜になられたとしたら――
私たちはどうなるのでしょうか？
いえ、最近余計なことばかり考えてしまうのです","If you were to become a dragon, Arisen—
what would become of us?
No, I've just been thinking too much lately.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,52
0,,"なんとか見た目だけでも自然な人に見えるように
たくさん観察して、色々な動きや表現を覚えたんです
――お気に召していただけたでしょうか？","I observed many people and learned various movements and expressions
so that at least I might appear human.
—Do you find it agreeable?",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,53
0,,"最近、人の生活に興味があるんです
美味しそうに頬張る食事や、暖かな光の心地よさ――
もっともっと、世界には学ぶことが多いのでしょうね","Lately, I've grown interested in human life.
Meals eaten with delight, the comfort of warm light—
there is so much more to learn about this world.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,54
0,,"ポーンに自発的な意志など、あるはずはないのですが
最近、色々なことが気になってしまうんです
変――でしょうか","A pawn shouldn't possess independent will,
yet lately, many things trouble my thoughts.
Is that—strange?",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,55
0,,"覚者さま、先日読んだ書物にこんなことが
書いてありました
植物の生育には有機物だけでなく、無機質も重要――
いつか、この知識が役立つときが来るのでしょうか？","Arisen, a book I read the other day said this:
plant growth requires not only organic matter, but inorganic as well—
Do you think this knowledge will be useful someday?",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,56
0,,"覚者さま、もしクランに加入されているのでしたら
毎日ポーン遠征隊を
派遣することをおすすめいたします！
すごい掘り出し物の発見があるかもしれませんよ","Arisen, if you belong to a clan,
I recommend dispatching pawn expedition teams every day!
You might discover something truly remarkable.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,57
0,,"覚者さま――最近、世界の色々なことが気になって
我慢できずにお願いすることがあるかもしれません
どうか――わがままと嫌わないでください","Arisen—lately, I find myself curious about many things in the world,
and I may ask you things I can't help myself about.
Please—don't dislike me for being selfish.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,58
0,,"稀にダンジョンで見る、謎の書物
あれは何なのでしょう
どうやら、何かの断片のようですが――
まとめて読み返せば何かわかるのでしょうか","Those mysterious books sometimes found in dungeons—
what are they, I wonder?
They seem to be fragments of something—
perhaps reading them all together would reveal their meaning?",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,59
0,,"ありがとうございます、覚者さま！
それでは参りましょう","Thank you very much, Arisen!
Then, let us go.",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,60
0,,そうですか――それでは、またの機会に！,"I see—then, another time!",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,61
0,,"さぁ、行きましょう覚者さま
今日はどんなものが見られるか、楽しみです！","Come now, Arisen.
I'm looking forward to what we'll see today!",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,62
0,,"どうでしょう、良く撮れましたか？
たまには、こういうお出かけも楽しいですね！","How is it—did it come out well?
An outing like this is fun now and then!",ui\00_message\pawn\talk\stage\feature9001\persona01.gmd,\pw_talk\pt_feature9001_persona01.arc,pt_feature9001_persona01.arc,63
