0,,"内容は廃墟などに棲みついた魔物退治が
一般的だが――","The requests usually involve exterminating monsters
that have taken up residence in ruins.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,2,Joseph
0,,"とりあえず、この嘆願を処理してくれ
それほど難しくないだろうから手早くな","For now, take care of this petition.
It shouldn't be too difficult, so make it quick.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,3,Joseph
0,,"ふむ――今日はおまえに頼もう
すでに聞き及んでいるかもしれないが
覚者には重要な仕事がある","Hmm... I'll count on you today.
You may have already heard, but
the Arisen have an important duty.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,4,Joseph
0,,"各地から届く嘆願に応えて現地へ赴き
問題を処理する仕事だ","That duty is to respond to petitions from across the land,
travel to the sites in question,
and resolve the problems there.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,5,Joseph
0,,"内容は廃墟などに棲みついた魔物退治が
一般的だが――","The requests usually involve exterminating monsters
that have taken up residence in ruins.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,6,Joseph
0,,"どうだろう――この嘆願を処理してみないか？
魔物退治だが、少々難敵らしい
まあ、おまえなら、なんとかできるだろうよ","What do you say— would you like to handle this request?
It's monster extermination, but it seems to be a tough one.
Still, I'm sure someone of your skills can pull it off.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,7,Joseph
0,,"ふむ――今日はおまえに頼もう
すでに聞き及んでいるかもしれないが
覚者には重要な仕事がある","Hmm... I'll count on you today.
You may have already heard, but
the Arisen have an important duty.
",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,8,Joseph
0,,"各地から届く嘆願に応えて現地へ赴き
問題を処理する仕事だ","That duty is to respond to petitions from across the land,
travel to the sites in question,
and resolve the problems there.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,9,Joseph
0,,"内容は廃墟などに棲みついた魔物退治が
一般的だが――
ほう――またこの嘆願か","Most of them involve exterminating monsters
that have taken up residence in ruins—
Oh? This petition again?",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,10,Joseph
0,,"あまりにも厄介な魔物でな――
これまで何人もの覚者が派遣されたが
皆、最後は逃げるように帰ってくる
どうだ――行ってみるか？　何事も経験だ","It's an exceptionally troublesome monster—
several Arisen have been dispatched so far,
but they all end up running back for their lives.
Well then— will you give it a try? Experience is valuable, after all.
",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,11,Joseph
0,,"ほう――仕事が無事終わったか
ごくろうだったな","Oh— so the job was completed safely?
Well done.",ui\00_message\quest\q20000004.gmd,\quest\q20000004.arc,q20000004.arc,12,Joseph
